state,total,deviation,zscore,is_anomaly
Andaman & Nicobar Islands,1292,-97.25556003993458,-0.5962062082176736,False
Andaman and Nicobar Islands,13848,-70.58436179025851,-0.5823174332615614,False
Andhra Pradesh,1805879,3736.0112156679484,1.3999313142198477,False
Arunachal Pradesh,50686,7.666163944176561,-0.5415692099553127,False
Assam,628331,1234.6878518172355,0.09739076213160915,False
Bihar,1714983,3542.9317925951104,1.2993870255601816,False
Chandigarh,19668,-58.22163689275017,-0.5758796608623441,False
Chhatisgarh,5,-99.98937910232173,-0.5976298187121396,False
Chhattisgarh,1012690,2051.135373961807,0.5225481094839747,False
Dadra & Nagar Haveli,463,-99.01650487499204,-0.5971232036333008,False
Dadra and Nagar Haveli,8712,-81.49414788537928,-0.5879986014819016,False
Dadra and Nagar Haveli and Daman and Diu,830,-98.23693098540689,-0.5967172478823537,False
Daman & Diu,1572,-96.66078976995136,-0.5958964872087764,False
Daman and Diu,4178,-91.1251779000361,-0.5930138695331132,False
Delhi,325266,590.9233808441489,-0.23784351487333846,False
Goa,48056,2.079571765405612,-0.5444783751460243,False
Gujarat,1284066,2627.586719629543,0.8227297113069983,False
Haryana,618023,1212.7918091637105,0.08598860441835621,False
Himachal Pradesh,290440,516.9467043354504,-0.2763661715013698,False
Jammu & Kashmir,317,-99.32663508719757,-0.5972847010165114,False
Jammu and Kashmir,365259,675.8756930135735,-0.1936053994846962,False
Jharkhand,676567,1337.149775899059,0.15074684279288858,False
Karnataka,1559433,3212.5156658240753,1.1273259436532654,False
Kerala,1089061,2213.361089279266,0.6070256208071062,False
Ladakh,5274,-88.79707712895893,-0.5918015330125733,False
Lakshadweep,4432,-90.5856362979799,-0.5927329083321852,False
Madhya Pradesh,1673820,3455.49419036897,1.2538547188129339,False
Maharashtra,3942474,8274.522590649362,3.7633183106641286,True
Manipur,145079,208.17384285319793,-0.4371567271238144,False
Meghalaya,49260,4.637083926333454,-0.543146574807767,False
Mizoram,35432,-24.73607069269495,-0.55844236806144,False
Nagaland,47626,1.16617456507424,-0.5449540181239734,False
ODISHA,24,-99.94901969114429,-0.597608801929393,False
Odisha,1214803,2480.459672451516,0.7461146890240106,False
Orissa,47077,0.0,-0.5455612925307036,False
Pondicherry,19578,-58.412813050959066,-0.5759792140437753,False
Puducherry,34385,-26.960086666525058,-0.5596005034054229,False
Punjab,683048,1350.9165834696348,0.157915778002395,False
Rajasthan,1932761,4005.531363510844,1.5402813894015472,False
Sikkim,18573,-60.547613484291695,-0.5770908912364237,False
Tamil Nadu,2598868,5420.462221466958,2.2770932896636515,True
Tamilnadu,1,-99.99787582046434,-0.597634243297981,False
Telangana,1111772,2261.6033307135117,0.6321473130680382,False
Tripura,105850,124.84440384901332,-0.48054974661675187,False
Uttar Pradesh,3740002,7844.435711706354,3.539354624544828,True
Uttarakhand,402037,753.9987679758693,-0.1529235449660683,False
Uttaranchal,2,-99.99575164092869,-0.5976331371515207,False
WEST BENGAL,29,-99.93839879346602,-0.5976032711970913,False
WESTBENGAL,11,-99.9766340251078,-0.5976231818333775,False
West  Bengal,13,-99.97238566603649,-0.5976209695404568,False
West Bangal,45,-99.90441192089555,-0.5975855728537257,False
West Bengal,1464322,3010.482826008454,1.0221192476632381,False
West bengal,16,-99.96601312742953,-0.5976176511010758,False
Westbengal,16,-99.96601312742953,-0.5976176511010758,False
andhra pradesh,29,-99.93839879346602,-0.5976032711970913,False
odisha,12,-99.97450984557214,-0.5976220756869172,False
west Bengal,1,-99.99787582046434,-0.597634243297981,False
