date,total,rolling_mean,rolling_std,upper_bound,lower_bound,is_spike,is_drop,is_anomaly
2025-01-03,1338884,1338884.0,0.0,1338884.0,1338884.0,False,False,False
2025-01-04,1340590,1339737.0,1206.32416870425,1342149.6483374084,1337324.3516625916,False,False,False
2025-01-05,1461535,1380336.3333333333,70325.28144510576,1520986.8962235448,1239685.7704431217,False,False,False
2025-01-06,1469759,1402692.0,72774.99663574941,1548241.993271499,1257142.006728501,False,False,False
2025-01-07,1338632,1389880.0,69230.67832615829,1528341.3566523166,1251418.6433476834,False,False,False
2025-01-09,312264,1210277.3333333333,444271.3322957792,2098819.9979248918,321734.66874177486,False,True,True
2025-01-11,349570,1087319.142857143,519915.24644517095,2127149.635747485,47488.64996680105,False,False,False
2025-01-12,393723,952296.1428571428,564512.0960101824,2081320.3348775078,-176728.04916322196,False,False,False
2025-02-09,298298,803397.2857142857,582206.8365291136,1967810.9587725129,-361016.3873439415,False,False,False
2025-02-11,364003,646607.0,519876.3530077767,1686359.7060155533,-393145.70601555344,False,False,False
2025-02-12,493046,507076.5714285714,372234.0474835049,1251544.6663955813,-237391.52353843843,False,False,False
2025-03-09,301973,358982.4285714286,68810.16739517594,496602.76336178044,221362.0937810767,False,False,False
2025-03-11,395999,370944.5714285714,66577.02279029008,504098.6170091516,237790.52584799126,False,False,False
2025-03-12,370300,373906.0,65925.65577476716,505757.3115495343,242054.68845046568,False,False,False
2025-04-09,267923,355934.5714285714,76000.0324799413,507934.636388454,203934.5064686888,False,False,False
2025-04-11,261899,350734.71428571426,81636.87315323784,514008.4605921899,187460.96797923857,False,False,False
2025-04-12,408764,357129.14285714284,84550.38332936527,526229.9095158734,188028.3761984123,False,False,False
2025-05-09,93101,299994.14285714284,108994.81219829954,517983.7672537419,82004.51846054377,False,False,False
2025-05-11,320928,302702.0,109287.23437498574,521276.4687499715,84127.53125002852,False,False,False
2025-05-12,329725,293234.28571428574,102518.81665286861,498271.91902002296,88196.65240854851,False,False,False
2025-06-09,231308,273378.28571428574,98485.66900775197,470349.6237297897,76406.94769878179,False,False,False
2025-06-11,364784,287215.5714285714,104228.52546984809,495672.6223682676,78758.52048887525,False,False,False
2025-06-12,328369,296711.28571428574,104564.97891696096,505841.2435482077,87581.32788036382,False,False,False
2025-07-09,31603,242831.14285714287,131026.78651765278,504884.71589244844,-19222.4301781627,False,False,False
2025-07-11,315113,274547.14285714284,114580.63486096844,503708.41257907974,45385.87313520597,False,False,False
2025-07-12,200979,257411.57142857142,115454.19321655417,488319.9578616797,26503.18499546309,False,False,False
2025-08-09,371067,263317.5714285714,120707.76212800937,504733.09568459017,21902.047172552673,False,False,False
2025-08-11,330652,277509.5714285714,122148.54726091547,521806.6659504024,33212.476906740485,False,False,False
2025-08-12,321387,271310.0,118011.98077737581,507333.9615547516,35286.038445248385,False,False,False
2025-09-09,392606,280486.71428571426,125451.49871658695,531389.7117188881,29583.716852540354,False,False,False
2025-09-11,212073,306268.14285714284,73612.75912147247,453493.6611000878,159042.6246141979,False,False,False
2025-09-12,404520,319040.5714285714,82609.8069699887,484260.18536854885,153820.95748859402,False,False,False
2025-10-09,348801,340158.0,64254.45403497791,468666.9080699558,211649.09193004417,False,False,False
2025-10-11,330643,334383.14285714284,62813.925338860514,460010.99353486387,208755.2921794218,False,False,False
2025-10-12,309026,331293.71428571426,63555.46997626965,458404.65423825354,204182.77433317498,False,False,False
2025-11-09,391919,341369.71428571426,67209.11202040379,475787.93832652183,206951.4902449067,False,False,False
2025-11-11,358993,336567.85714285716,64065.60027666391,464699.05769618496,208436.65658952936,False,False,False
2025-11-12,398390,363184.5714285714,36492.62110279492,436169.81363416126,290199.3292229816,False,False,False
2025-12-09,406873,363520.71428571426,36944.86559146211,437410.4454686385,289630.98310279,False,False,False
2025-12-11,394403,370035.28571428574,37924.28126637611,445883.84824703797,294186.7231815335,False,False,False
2025-12-12,397292,379556.5714285714,34607.558870168315,448771.68916890805,310341.4536882348,False,False,False
