state,total,deviation,zscore,is_anomaly
100000,53,-98.90495867768595,-0.5745366245182163,False
Andaman & Nicobar Islands,111,-97.70661157024793,-0.5741214453729805,False
Andaman and Nicobar Islands,390,-91.94214876033058,-0.5721242905191736,False
Andhra Pradesh,123414,2449.876033057851,0.30851362609279165,False
Arunachal Pradesh,3839,-20.681818181818183,-0.5474354478998906,False
Assam,177656,3570.578512396694,0.6967920260217991,False
Bihar,432605,8838.119834710744,2.5217835415171814,True
Chandigarh,2620,-45.867768595041326,-0.556161368210968,False
Chhattisgarh,89280,1744.628099173554,0.06417354086037504,False
Dadra & Nagar Haveli,25,-99.48347107438018,-0.5747370558297095,False
Dadra and Nagar Haveli,738,-84.75206611570249,-0.5696332156477585,False
Dadra and Nagar Haveli and Daman and Diu,169,-96.50826446280992,-0.5737062662277446,False
Daman & Diu,21,-99.56611570247934,-0.5747656888742084,False
Daman and Diu,113,-97.66528925619835,-0.5741071288507309,False
Delhi,58245,1103.4090909090908,-0.15798309314642314,False
Goa,2280,-52.892561983471076,-0.558595176993385,False
Gujarat,191358,3853.677685950413,0.7948745199532039,False
Haryana,75431,1458.4917355371902,-0.034961217456368904,False
Himachal Pradesh,16909,249.3595041322314,-0.4538769749993315,False
Jammu & Kashmir,146,-96.98347107438016,-0.573870906233614,False
Jammu and Kashmir,46329,857.2107438016528,-0.24328093270901402,False
Jharkhand,138333,2758.119834710744,0.41530772381302433,False
Karnataka,193936,3906.942148760331,0.8133285171328245,False
Kerala,73950,1427.892561983471,-0.04556260218213234,False
Ladakh,617,-87.25206611570248,-0.570499365243854,False
Lakshadweep,199,-95.88842975206612,-0.5734915183940019,False
Madhya Pradesh,388960,7936.363636363636,2.209361234727212,True
Maharashtra,288599,5862.789256198347,1.4909509899855888,False
Manipur,10338,113.59504132231405,-0.5009139088501022,False
Meghalaya,38746,700.5371900826447,-0.29756202681803773,False
Mizoram,4840,0.0,-0.54027002851401,False
Nagaland,8365,72.8305785123967,-0.5150371580492455,False
ODISHA,1,-99.97933884297521,-0.5749088540967036,False
Odisha,115681,2290.103305785124,0.25315879281505455,False
Orissa,4054,-16.239669421487605,-0.5458964217580681,False
Pondicherry,1260,-73.96694214876032,-0.565896603340636,False
Puducherry,1723,-64.40082644628099,-0.562582328439874,False
Punjab,58385,1106.3016528925618,-0.15698093658895734,False
Rajasthan,289738,5886.322314049587,1.4991042494066857,False
Sikkim,2175,-55.061983471074385,-0.5593467944114844,False
Tamil Nadu,214778,4337.561983471075,0.9625209954949864,False
Telangana,118843,2355.4338842975208,0.2757932144915326,False
Tripura,10683,120.72314049586777,-0.49844430876206147,False
Uttar Pradesh,702047,14405.103305785124,4.450519735493651,True
Uttarakhand,32399,569.400826446281,-0.3429955101768632,False
WEST BENGAL,4,-99.91735537190083,-0.5748873793133293,False
WESTBENGAL,1,-99.97933884297521,-0.5749088540967036,False
West  Bengal,15,-99.69008264462809,-0.574808638440957,False
West Bangal,10,-99.79338842975206,-0.5748444297465808,False
West Bengal,336267,6847.665289256199,1.8321709812804512,False
West bengal,7,-99.85537190082646,-0.574865904529955,False
Westbengal,6,-99.87603305785125,-0.5748730627910799,False
andhra pradesh,5,-99.89669421487604,-0.5748802210522046,False
